id,question,context,timestamp
11,"Bạn có thể làm rõ thêm về trong tháng 11, 2020 liệu có bất thường nào khi so sánh kết quả tháng và quý của chỉ tiêu Mức độ hài lòng của khách hàng về dịch vụ - Mức độ hài lòng SME không ?","tuy kết quả của tháng với chỉ tiêu Mức độ hài lòng của khách hàng về dịch vụ - Mức độ hài lòng SME được đánh giá là không đạt khi KPI hiện trạng đạt được 99.8 % nhưng mục tiêu đề ra là 99.6 % nhưng hiện kết quả đánh giá của quý vẫn đạt khi KPI hiện trạng đạt được 80.3 % vượt qua mục tiêu đề ra là 80.5 %. Điều này cho thấy, các hiện trạng KPI tháng trước đã kéo kết quả của quý hiện tại lên mức đạt. do kết quả KPI của năm tính đến hiện tại là 80.3 % so với mục tiêu KPI năm là 86.3 % cho ta thấy được các quý trước có kết quả không tốt đã ảnh hưởng tới cả kết quả của quý này. Cần xem lại các kết quả của quý trước.",2023-08-06T17:38:50.115850+08:00
12,"T6/2021 cho biết xem xét tháng của chỉ tiêu Tỷ lệ xử lý trong hạn (Kênh BO) - Dịch vụ ViettelPay khác gì so với quý, còn năm thì ra làm sao đấy?",Cả tháng 6 và quý 2 trong cùng 2021 của chỉ tiêu Tỷ lệ xử lý trong hạn (Kênh BO) - Dịch vụ ViettelPay đều được đánh giá là không đạt.,2023-08-06T17:38:50.120055+08:00
13,"T muốn biết trong tháng 1, năm 2020 cả quý với tháng đều nhận được xem xét đạt của chỉ tiêu Phản ánh về CLM vô tuyến - Phản ánh về chất lượng sóng và thoại hay không ?",Cả tháng 1 và quý 1 trong cùng 2020 của chỉ tiêu Phản ánh về CLM vô tuyến - Phản ánh về chất lượng sóng và thoại đều được đánh giá là không đạt.,2023-08-06T17:38:50.124272+08:00
14,"Tháng 8, năm 2022 có thể cho biết xem xét tháng của chỉ tiêu Phản ánh về lỗi dịch vụ cố định - Phản ánh về lỗi dịch vụ FTTH GPON khác gì so với quý ?","với chỉ tiêu Phản ánh về lỗi dịch vụ cố định - Phản ánh về lỗi dịch vụ FTTH GPON, hiện trạng có được trong tháng 8 năm 2022 là 5.8pa/10k tb/ngày so với mục tiêu đề ra là 1.0pa/10k tb/ngày được đánh giá là không đạt và kết quả này vẫn xảy ra trong quý 3 cùng kỳ là 5.8pa/10k tb/ngày so với mục tiêu đề ra là 1.0pa/10k tb/ngày, cho thấy Ngoài ra hiện trạng KPI của năm được đánh giá là không đạt . kết quả này xảy ra có thể do mục tiêu KPI đề ra quá cao, có thể điều chỉnh các con số này lại sao cho phù hợp hơn với tình cảnh hiện tại",2023-08-06T17:38:50.124765+08:00
15,"Có một câu hỏi là trong t5/2023 hiện trạng nhận được của quý mà chỉ tiêu Xử lý PAKH dịch vụ Kênh truyền - Xử lý PAKH trong hạn 24 giờ khác nhau như thế nào so với tháng, liệu có ảnh hưởng gì kết quả năm hay không?","tuy kết quả của tháng với chỉ tiêu Xử lý PAKH dịch vụ Kênh truyền - Xử lý PAKH trong hạn 24 giờ được đánh giá là không đạt khi KPI hiện trạng đạt được 91.8 % chỉ bằng 1.01 lần của KPI mục tiêu tháng nhưng hiện kết quả đánh giá của quý vẫn đạt khi KPI hiện trạng đạt được 80.3 % gấp 0.99 lần của KPI mục tiêu quý. Điều này cho thấy, các hiện trạng KPI tháng trước đã kéo kết quả của quý hiện tại lên mức đạt. do kết quả KPI của năm tính đến hiện tại là 80.6 % so với mục tiêu KPI năm là 80.8 % cho ta thấy được các quý trước có kết quả không tốt đã ảnh hưởng tới cả kết quả của quý này. Cần xem lại các kết quả của quý trước.",2023-08-06T17:38:50.124765+08:00
16,"Xin hỏi trong t4/2022 tình hình của tháng và quý của chỉ tiêu Tổng đài 18009000 ra sao, hiện trạng của năm bây giờ như thế nào?","trong T4/2022 và Q2/2022, chỉ tiêu Tổng đài 18009000 đều được đánh giá là đạt.Chỉ tiêu Tổng đài 18009000 đều được đánh giá là đạt trong T4/2022 và Q2/2022",2023-08-06T17:38:50.124765+08:00
17,Hãy giúp tôi hiểu hơn về trong t6/2021 xem xét tháng của chỉ tiêu KHCN Cố định khác gì so với quý ?,"trong T6/2021 và Q2/2021, chỉ tiêu KHCN Cố định đều được đánh giá là đạt.Chỉ tiêu KHCN Cố định đều được đánh giá là đạt trong T6/2021 và Q2/2021",2023-08-06T17:38:50.140390+08:00
18,"Tháng 1, năm 2021 t có một câu hỏi là xem xét đối với quý và tháng ra sao với chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phátso sánh hiện trạng nhận được nhận được của quý và tháng với chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát, cho biết thêm về hiện trạng nhận được của năm được hay không?","tuy kết quả của tháng với chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát được đánh giá là không đạt khi KPI hiện trạng đạt được 98.6 % chỉ bằng 1.02 lần của KPI mục tiêu tháng nhưng hiện kết quả đánh giá của quý vẫn đạt khi KPI hiện trạng đạt được 90.5 % gấp 0.93 lần của KPI mục tiêu quý. Điều này cho thấy, các hiện trạng KPI tháng trước đã kéo kết quả của quý hiện tại lên mức đạt. bên cạnh đó kết quả đánh giá của KPI của năm lại không đạt cho ta thấy được các quý trước có kết quả không tốt đã ảnh hưởng tới cả kết quả của quý này. Cần xem lại các kết quả của quý trước.",2023-08-06T17:38:50.140390+08:00
19,"Cho tui hỏi trong tháng 4, 2020 hiện trạng nhận được của quý mà chỉ tiêu Tỷ lệ gỡ bài thành công dịch vụ chuyển phát chênh lệch thế nào so với tháng, cho tôi biết thêm về xem xét của năm được hay không?","với chỉ tiêu Tỷ lệ gỡ bài thành công dịch vụ chuyển phát, hiện trạng có được trong T4/2020 là 81.1 % so với mục tiêu đề ra là 81.6 % được đánh giá là không đạt và kết quả này vẫn xảy ra trong quý 2 năm 2020 là 81.1 % so với mục tiêu đề ra là 81.6 %, cho thấy Tôi thấy được hiện trạng KPI của năm được đánh giá là không đạt khi KPI đạt được 82.7 % nhưng mục tiêu đề ra là 91.0 %. ",2023-08-06T17:38:50.140390+08:00
20,"Bạn hãy giúp giải đáp thắc mắc sau đánh giá đối với tháng với quý như thế nào với chỉ tiêu Tỷ lệ kết nối thành công đến tổng đài dịch vụ bưu chínhso sánh kết quả nhận được của tháng với quý với chỉ tiêu Tỷ lệ kết nối thành công đến tổng đài dịch vụ bưu chính, cho tui biết thêm về xem xét của năm được hay không trong tháng 8, 2021?",Cả tháng 8 và quý 3 trong cùng 2021 của chỉ tiêu Tỷ lệ kết nối thành công đến tổng đài dịch vụ bưu chính đều được đánh giá là không đạt.,2023-08-06T17:38:50.140390+08:00
21,"Có một câu hỏi là so sánh hiện trạng nhận được nhận được của chỉ tiêu Phản ánh về SME - Dịch vụ Vtracking trong quý và tháng, liệu có ảnh hưởng gì kết quả năm hay không trong tháng 8, 2022?","với chỉ tiêu Phản ánh về SME - Dịch vụ Vtracking, hiện trạng có được trong T8/2022 được đánh giá là đạt và kết quả này vẫn duy trì trong quý 3 cùng kỳ , cho thấy chỉ tiêu đề ra tạm đáp ứng thành công. Tuy nhiên, hiện trạng năm đánh giá là không đạt khi KPI đạt được 3.9pa/10k chứng thư số/ ngày nhưng mục tiêu đề ra là 2.9pa/10k chứng thư số/ ngày. ",2023-08-06T17:38:50.156056+08:00
22,"Tháng 8, năm 2020 t có một câu hỏi là liệu có bất thường nào khi so sánh kết quả tháng và quý của chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát không, liệu có ảnh hưởng gì kết quả năm hay không?",Cả tháng 8 và quý 3 trong cùng 2020 của chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát đều được đánh giá là không đạt.,2023-08-06T17:38:50.156056+08:00
23,Xin hỏi trong t10/2022 chỉ tiêu Mức độ hài lòng của khách hàng về dịch vụ - Mức độ hài lòng cố định có kết quả đánh giá trong cùng tháng và quý thế nào ?,"với chỉ tiêu Mức độ hài lòng của khách hàng về dịch vụ - Mức độ hài lòng cố định, hiện trạng có được trong tháng 10 năm 2022 là 87.5 % so với mục tiêu đề ra là 92.3 % được đánh giá là không đạt và kết quả này vẫn xảy ra trong quý 4 năm 2022 là 87.5 % so với mục tiêu đề ra là 92.3 %, cho thấy Ta cũng có được hiện trạng KPI của năm được đánh giá là không đạt . cần giải trình nguyên nhân dẫn đến kết quả không tốt này từ VTT",2023-08-06T17:38:50.156056+08:00
24,"T9/2021 bạn có thể giải thích về hiện trạng nhận được tháng của chỉ tiêu Lỗi dịch vụ cố định (GPON FTTH/THS) - Tỷ lệ xử lý trong hạn khác gì so với quý, hiện trạng của năm bây giờ như thế nào?",Cả tháng 9 và quý 3 trong cùng 2021 của chỉ tiêu Lỗi dịch vụ cố định (GPON FTTH/THS) - Tỷ lệ xử lý trong hạn đều được đánh giá là không đạt.,2023-08-06T17:38:50.156056+08:00
25,Cho tui biết trong t1/2023 liệu cả tháng và quý của chỉ tiêu Tổng đài 18008000 có cùng ổn hay không ?,"ta thấy kết quả của tháng với chỉ tiêu Tổng đài 18008000 được đánh giá là đạt nhưng hiện kết quả đánh giá của quý vẫn chưa đạt .     Điều này cho thấy, các hiện trạng KPI tháng trước đã kéo kết quả của quý hiện tại xuống mức không đạt. bên cạnh đó kết quả đánh giá của KPI của năm lại không đạt cho ta thấy được các quý trước có kết quả không tốt đã ảnh hưởng tới cả kết quả của quý này. Cần xem lại các kết quả của quý trước.",2023-08-06T17:38:50.171714+08:00
26,"Hãy giúp t hiểu hơn về kết quả tháng của chỉ tiêu Nhóm dịch vụ sme khác gì so với quý, còn năm thì như thế nào đấy trong tháng 3, năm 2023?","tuy kết quả của tháng với chỉ tiêu Nhóm dịch vụ sme được đánh giá là không đạt khi KPI hiện trạng đạt được 2.6giây nhưng mục tiêu đề ra là 10.0giây nhưng hiện kết quả đánh giá của quý vẫn đạt khi KPI hiện trạng đạt được 5.0giây vượt qua mục tiêu đề ra là 2.3giây. Điều này cho thấy, các hiện trạng KPI tháng trước đã kéo kết quả của quý hiện tại lên mức đạt. bên cạnh đó kết quả đánh giá của KPI của năm lại không đạt cho ta thấy được các quý trước có kết quả không tốt đã ảnh hưởng tới cả kết quả của quý này. Cần xem lại các kết quả của quý trước.",2023-08-06T17:38:50.171714+08:00
27,"T có một vấn đề cần được giải đáp cả quý với tháng đều nhận được hiện trạng nhận được đạt của chỉ tiêu Tổng đài 18008000 hay không, hiện trạng của năm bây giờ như thế nào trong tháng 2, năm 2022?","với chỉ tiêu Tổng đài 18008000, hiện trạng có được trong tháng 2 năm 2022 được đánh giá là không đạt và kết quả này vẫn xảy ra trong quý 1 cùng kỳ , cho thấy Ngoài ra hiện trạng KPI của năm được đánh giá là không đạt . ",2023-08-06T17:38:50.171714+08:00
28,"Cho biết trong tháng 10, 2020 xem xét tháng của chỉ tiêu KHCN Cố định khác gì so với quý ?","tuy kết quả của tháng với chỉ tiêu KHCN Cố định được đánh giá là không đạt khi KPI hiện trạng đạt được 92.1 % chỉ bằng 1.02 lần của KPI mục tiêu tháng nhưng hiện kết quả đánh giá của quý vẫn đạt khi KPI hiện trạng đạt được 81.1 % gấp 0.9 lần của KPI mục tiêu quý. Điều này cho thấy, các hiện trạng KPI tháng trước đã kéo kết quả của quý hiện tại lên mức đạt. do kết quả KPI của năm tính đến hiện tại là 80.0 % so với mục tiêu KPI năm là 81.6 % cho ta thấy được các quý trước có kết quả không tốt đã ảnh hưởng tới cả kết quả của quý này. Cần xem lại các kết quả của quý trước.",2023-08-06T17:38:50.171714+08:00
29,Cho t biết thống kê về kết quả của quý với tháng chỉ tiêu Kênh BO trong t2/2022?,Cả tháng 2 và quý 1 trong cùng 2022 của chỉ tiêu Kênh BO đều được đánh giá là không đạt.,2023-08-06T17:38:50.189111+08:00
30,"Hãy giúp t hiểu hơn về trong tháng 2, 2022 xem xét đối với tháng và quý thế nào với chỉ tiêu Tỷ lệ gỡ bài thành công dịch vụ chuyển phátso sánh kết quả nhận được của quý và tháng với chỉ tiêu Tỷ lệ gỡ bài thành công dịch vụ chuyển phát, còn năm thì thế nào đấy?","ta thấy kết quả của tháng với chỉ tiêu Tỷ lệ gỡ bài thành công dịch vụ chuyển phát được đánh giá là đạt khi KPI hiện trạng đạt được 82.5 % gấp 0.93 lần của KPI mục tiêu tháng nhưng hiện kết quả đánh giá của quý vẫn chưa đạt khi KPI hiện trạng đạt được 95.6 % chỉ bằng 1.01 lần của KPI mục tiêu quý.     Điều này cho thấy, các hiện trạng KPI tháng trước đã kéo kết quả của quý hiện tại xuống mức không đạt. tuy nhiên kết quả đánh giá của KPI của năm lại đạt điều này chứng tỏ kết quả không đạt của chỉ tiêu tháng này không ảnh hưởng nhiều đến kết quả KPI dự kiến của năm.",2023-08-06T17:38:50.194151+08:00
31,"Bạn có thể cho t biết thêm so sánh hiện trạng nhận được nhận được của chỉ tiêu Mức độ hài lòng dịch vụ chuyển đổi số cho KH doanh nghiệp lớn và chính phủ (CSAT) trong quý với tháng, hiện trạng của năm bây giờ như thế nào trong tháng 7, 2022?",Cả tháng 7 và quý 3 trong cùng 2022 của chỉ tiêu Mức độ hài lòng dịch vụ chuyển đổi số cho KH doanh nghiệp lớn và chính phủ (CSAT) đều được đánh giá là không đạt.,2023-08-06T17:38:50.198205+08:00
32,"Có thể cho biết xem xét đối với quý và tháng ra làm sao với chỉ tiêu Lỗi SME - vBHXHso sánh kết quả nhận được của quý với tháng với chỉ tiêu Lỗi SME - vBHXH, cho t biết thêm về đánh giá của năm được hay không trong t3/2022?","tuy kết quả của tháng với chỉ tiêu Lỗi SME - vBHXH được đánh giá là không đạt khi KPI hiện trạng đạt được 99.6 % chỉ bằng 1.02 lần của KPI mục tiêu tháng nhưng hiện kết quả đánh giá của quý vẫn đạt khi KPI hiện trạng đạt được 82.9 % gấp 0.96 lần của KPI mục tiêu quý. Điều này cho thấy, các hiện trạng KPI tháng trước đã kéo kết quả của quý hiện tại lên mức đạt. bên cạnh đó kết quả đánh giá của KPI của năm lại không đạt cho ta thấy được các quý trước có kết quả không tốt đã ảnh hưởng tới cả kết quả của quý này. Cần xem lại các kết quả của quý trước.",2023-08-06T17:38:50.202357+08:00
33,"Tháng 8, 2021 có thể cho t biết có hiện tượng lạ nào khi so sánh của kết quả tháng với quý của chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát hay không ?",Cả tháng 8 và quý 3 trong cùng 2021 của chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát đều được đánh giá là không đạt.,2023-08-06T17:38:50.206313+08:00
34,"T muốn biết trong tháng 3, 2021 thống kê về kết quả của quý và tháng chỉ tiêu CLM vô tuyến - Tỷ lệ hoàn thành xử lý PAKH về CLM trong hạn ?","cả tháng 3 và quý 1 của năm 2021, chỉ tiêu CLM vô tuyến - Tỷ lệ hoàn thành xử lý PAKH về CLM trong hạn đều được đánh giá là đạt.Chỉ tiêu CLM vô tuyến - Tỷ lệ hoàn thành xử lý PAKH về CLM trong hạn đều được đánh giá là đạt cả tháng 3 và quý 1 của năm 2021",2023-08-06T17:38:50.210371+08:00
35,T4/2021 bạn hãy giúp tôi giải đáp thắc mắc sau có thấy hiện tượng lạ khi so sánh xem xét tháng và quý của chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát không ?,Cả tháng 4 và quý 2 trong cùng 2021 của chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát đều được đánh giá là không đạt.,2023-08-06T17:38:50.214207+08:00
36,"Cho biết trong tháng 5, 2021 hiện trạng nhận được đối với quý và tháng ra làm sao với chỉ tiêu Mức độ hài lòng dịch vụ Kênh truyền (CSAT)so sánh kết quả nhận được của quý với tháng với chỉ tiêu Mức độ hài lòng dịch vụ Kênh truyền (CSAT), hiện trạng của năm bây giờ như thế nào?",Cả tháng 5 và quý 2 trong cùng 2021 của chỉ tiêu Mức độ hài lòng dịch vụ Kênh truyền (CSAT) đều được đánh giá là không đạt.,2023-08-06T17:38:50.216376+08:00
37,"Tui muốn biết trong tháng 11, 2022 thống kê về kết quả của tháng với quý chỉ tiêu Kênh BO, còn năm thì như thế nào đấy?","với chỉ tiêu Kênh BO, hiện trạng có được trong tháng 11 năm 2022 là 80.0 % so với mục tiêu đề ra là 82.6 % được đánh giá là không đạt và kết quả này vẫn xảy ra trong quý 4 năm 2022 là 80.0 % so với mục tiêu đề ra là 82.6 %, cho thấy Tuy nhiên KPI năm lại đạt, trường hợp này chưa thấy xảy ra bao giờ",2023-08-06T17:38:50.216376+08:00
38,"Tháng 1, năm 2020 t có một câu hỏi là liệu có bất thường nào khi so sánh xem xét tháng và quý của chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát không, liệu có ảnh hưởng gì kết quả năm hay không?","tuy kết quả của tháng với chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát được đánh giá là không đạt khi KPI hiện trạng đạt được 95.5 % nhưng mục tiêu đề ra là 94.6 % nhưng hiện kết quả đánh giá của quý vẫn đạt khi KPI hiện trạng đạt được 83.8 % vượt qua mục tiêu đề ra là 94.6 %. Điều này cho thấy, các hiện trạng KPI tháng trước đã kéo kết quả của quý hiện tại lên mức đạt. do kết quả KPI của năm tính đến hiện tại là 95.7 % so với mục tiêu KPI năm là 94.6 % điều này chứng tỏ kết quả không đạt của chỉ tiêu tháng này không ảnh hưởng nhiều đến kết quả KPI dự kiến của năm.",2023-08-06T17:38:50.216376+08:00
39,"Xin hỏi trong tháng 7, 2020 có thấy hiện tượng kì lạ khi so sánh kết quả tháng và quý của chỉ tiêu Tỷ lệ gỡ bài thành công dịch vụ chuyển phát không, liệu có ảnh hưởng gì kết quả năm hay không?","với chỉ tiêu Tỷ lệ gỡ bài thành công dịch vụ chuyển phát, hiện trạng có được trong tháng 7 năm 2020 là 99.6 % so với mục tiêu đề ra là 84.5 % được đánh giá là đạt và kết quả này vẫn duy trì trong quý 3 cùng kỳ là 99.6 % so với mục tiêu đề ra là 84.5 %, cho thấy chỉ tiêu đề ra tạm đáp ứng thành công. Tuy nhiên, hiện trạng năm đánh giá là không đạt khi KPI đạt được 87.3 % nhưng mục tiêu đề ra là 91.0 %. Thông tin này cho thấy cần yêu cầu tổng công ty VTPOST giải trình các mục tiêu đề ra ban đầu.",2023-08-06T17:38:50.216376+08:00
40,"Cho t hỏi chỉ tiêu Tỷ lệ kết nối thành công đến tổng đài dịch vụ bưu chính có kết quả đánh giá trong cùng tháng và quý ra sao, còn năm thì ra sao đấy trong tháng 6, 2023?",Cả tháng 6 và quý 2 trong cùng 2023 của chỉ tiêu Tỷ lệ kết nối thành công đến tổng đài dịch vụ bưu chính đều được đánh giá là không đạt.,2023-08-06T17:38:50.232000+08:00
41,"Tháng 6, năm 2021 xin hỏi xem xét của quý mà chỉ tiêu Thời gian trung bình xử lý phản ánh dịch vụ Giải pháp CNTT khác như thế nào so với tháng ?","với chỉ tiêu Thời gian trung bình xử lý phản ánh dịch vụ Giải pháp CNTT, hiện trạng có được trong T6/2021 được đánh giá là không đạt và kết quả này vẫn xảy ra trong quý 2 cùng kỳ , cho thấy Tôi thấy được hiện trạng KPI của năm được đánh giá là không đạt khi KPI đạt được 13.4giờ nhưng mục tiêu đề ra là 10.9giờ. cần giải trình nguyên nhân dẫn đến kết quả không tốt này từ VTS",2023-08-06T17:38:50.232000+08:00
42,"Tui có một vấn đề cần được giải đáp trong tháng 10, 2022 chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát có kết quả đánh giá trong cùng tháng và quý ra làm sao, còn năm thì ra làm sao đấy?","ta thấy kết quả của tháng với chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát được đánh giá là đạt nhưng hiện kết quả đánh giá của quý vẫn chưa đạt .     Điều này cho thấy, các hiện trạng KPI tháng trước đã kéo kết quả của quý hiện tại xuống mức không đạt. do kết quả KPI của năm tính đến hiện tại là 91.9 % so với mục tiêu KPI năm là 97.2 % cho ta thấy được các quý trước có kết quả không tốt đã ảnh hưởng tới cả kết quả của quý này. Cần xem lại các kết quả của quý trước.",2023-08-06T17:38:50.232000+08:00
